id,vote_average,vote_count,popularity,release_date,original_language
10156,6.5,204,14.282314,1981-06-12,en
12837,7.4,158,7.645979,2008-09-17,en
17708,4.1,54,3.495758,2001-10-12,en
13937,5.9,65,7.558959,1992-08-07,en
28932,6.4,29,3.375208,1978-04-26,en
31909,5.5,57,4.234269,1986-01-01,en
167073,7.2,1213,39.337949,2015-10-20,en
3175,7.7,505,29.543331,1975-12-18,en
14369,5.8,53,4.12064,2001-11-21,en
16888,5.7,34,2.259537,2000-10-13,en
121826,6.3,139,7.722021,2012-09-08,en
10646,4.9,74,7.063053,2001-03-30,en
12149,7.0,334,16.003958,2001-11-17,en
304357,7.3,440,21.204929,2015-04-10,en
11184,6.6,131,6.799314,2004-09-04,en
766,7.3,838,33.758281,1992-10-09,en
20009,5.4,60,9.371811,2002-02-01,en
1587,7.5,919,33.282794,1993-12-17,en
30973,8.2,12,3.208172,2003-09-11,en
11109,6.8,80,4.131918,2004-10-22,en
9027,5.1,75,4.093288,2002-08-21,en
63020,6.6,9,1.187671,1995-05-12,en
86829,7.2,834,36.319205,2013-10-06,en
11065,5.8,75,4.146752,2001-08-31,en
13888,5.1,153,9.705589,1991-08-02,en
42345,5.9,16,1.396985,1970-01-27,en
13994,6.0,33,4.056774,2005-09-13,en
1590,6.2,42,5.062687,2006-09-10,en
62728,5.6,35,3.122152,2010-09-13,en
11917,5.9,820,32.943848,2008-10-23,en
45138,7.3,6,0.700127,1969-04-01,it
80271,5.9,881,31.763201,2012-02-10,en
4657,5.7,25,8.950864,2006-07-20,en
14395,6.1,42,3.246903,2006-08-11,hi
24137,6.3,46,4.519523,1999-04-15,en
190847,5.2,302,18.764453,2013-08-11,en
11056,5.6,112,6.340135,2002-10-02,en
62,7.9,2998,86.201184,1968-04-10,en
601,7.3,3269,56.105798,1982-04-03,en
13067,5.8,160,12.792446,2007-04-16,en
25379,6.8,6,1.985552,2004-02-20,en
88641,8.5,2,0.037073,1994-09-02,en
58051,5.2,29,0.12082,2010-04-30,hi
14877,5.0,16,3.646848,2007-05-17,en
96399,6.4,35,5.759545,2012-06-01,en
304410,7.0,766,25.302978,2014-12-17,fr
489,7.9,2811,43.734886,1997-12-05,en
373314,5.3,149,10.016909,2016-02-05,en
214,6.1,1071,33.124871,2006-10-27,en
10890,6.5,249,10.892398,1981-06-25,en
1588,5.8,568,14.754281,2000-08-25,en
316727,6.1,1306,53.727146,2016-06-29,en
10314,5.7,418,8.9876,1999-01-29,en
663,5.9,903,29.244768,2007-10-25,en
11804,5.6,261,14.447723,2005-01-07,en
16781,6.0,77,5.882208,2006-02-24,en
11873,6.7,291,17.3393,1986-10-07,en
9289,7.2,234,19.524972,1962-09-25,en
10414,6.4,198,8.932837,1992-10-01,en
1970,5.8,865,35.695442,2004-10-22,en
9614,6.5,755,26.598884,1996-02-16,en
8922,6.1,720,23.316208,2001-07-01,en
1648,6.7,454,25.929893,1989-02-17,en
17917,7.0,103,8.305998,1968-09-26,en
74534,6.9,459,21.258991,2011-11-28,en
19405,6.6,67,5.699058,2001-01-27,en
9355,5.9,748,36.582038,1985-06-29,en
10999,6.4,742,34.224204,1985-10-03,en
321258,5.8,1102,38.179483,2016-01-22,en
44040,5.8,816,30.934688,2010-01-13,en
10426,6.0,100,7.499639,2002-11-22,en
280092,6.2,983,45.946524,2015-06-04,en
13938,6.4,69,4.928777,1985-03-22,en
10163,5.4,197,10.125029,1992-03-05,en
12182,6.4,379,20.452449,2008-10-03,en
1832,6.8,823,14.543435,1999-11-12,en
9034,5.5,62,6.015354,2002-09-20,en
15301,6.2,161,12.902975,1983-06-24,en
10135,6.3,252,6.216203,1989-05-19,en
26352,6.0,31,3.290639,1994-11-23,en
20616,5.0,70,4.844451,2002-09-06,en
9794,5.3,153,9.559737,2006-10-06,en
15037,6.1,122,11.350382,1998-06-12,en
227,6.9,291,13.455373,1983-03-25,en
294272,6.2,679,31.974359,2016-08-10,en
11336,6.9,311,16.78512,1983-10-21,en
283445,5.4,581,26.090495,2015-08-19,en
88036,5.8,36,2.698185,2012-08-17,en
10984,5.0,114,5.904126,2001-02-01,en
22824,5.8,441,22.888173,2009-11-06,en
9526,6.4,81,5.025446,2006-06-09,en
39349,5.2,13,2.580808,1994-02-25,en
15983,5.3,49,4.192064,1985-09-27,en
14544,6.1,27,2.596338,2005-09-23,en
11545,7.5,676,18.289303,1998-09-17,en
42684,4.7,507,26.268209,2010-11-11,en
268238,6.3,272,17.592299,2015-02-26,en
